industry,废水,废气,噪声,固废,危废,环境管理,总量,合计
C1432,1,1,1,0,1,0,0,4
C1499,1,1,0,0,0,0,0,2
C1953,1,1,1,0,0,0,0,3
C2034,0,1,1,0,1,0,0,3
C2231,1,1,1,1,1,1,0,6
C2239,0,1,1,0,1,0,0,3
C2641,1,1,1,1,1,0,0,5
C2642,1,1,1,1,1,0,0,5
C2913,1,2,2,0,1,0,0,6
C2919,0,1,1,0,1,0,0,3
C2921,1,1,1,0,1,0,0,4
C2922,2,2,2,2,2,1,0,11
C2926,2,2,1,2,2,0,0,9
C2929,3,3,2,2,2,2,1,15
C3029,1,1,1,0,0,0,0,3
C3059,1,1,1,1,1,0,0,5
C3252,1,1,0,0,1,0,0,3
C3311,1,2,2,0,1,0,0,6
C3352,0,1,1,0,1,0,0,3
C3360,2,3,2,3,3,2,0,15
C3389,0,1,1,0,1,0,0,3
C3392,1,1,1,1,1,0,0,5
C3464,0,1,1,0,1,0,0,3
C3483,1,0,1,0,0,0,0,2
C3489,1,1,1,1,1,0,0,5
C3581,0,1,1,0,1,0,0,3
C3670,1,2,2,0,0,0,0,5
C3812,0,1,1,0,1,0,0,3
C3819,0,1,1,0,0,0,0,2
C3821,1,1,1,1,1,0,0,5
C3824,0,1,1,0,1,0,0,3
C3856,1,1,1,0,0,0,0,3
C3857,1,1,1,0,1,0,0,4
C3861,0,1,0,0,0,0,0,1
C3872,1,1,1,0,0,0,0,3
C3874,1,1,1,1,1,0,0,5
C3979,1,1,1,0,0,1,0,4
O8222,1,1,1,0,0,0,0,3
